text,label
"Scientists Discover New Renewable Energy Source. Researchers have announced a breakthrough in solar panel efficiency that could revolutionize clean energy generation. The new material is cheaper and more durable than silicon.",RELIABLE
"SHOCKING: Celebrity Death Hoax Revealed. Sources claim the celebrity faked their death to escape the spotlight and live in secrecy in a remote island. Fans are outraged by the deception.",UNRELIABLE
"NASA's Perseverance Rover Finds Evidence of Ancient Water on Mars. The rover discovered mineral deposits that typically form in wet environments, suggesting Mars once had liquid water.",RELIABLE
"Magic Pill Promises 50lb Weight Loss in One Week Without Diet or Exercise. Top doctors are stunned by this simple trick that melts fat overnight. Limited supply available!",UNRELIABLE
"Local Library Expansion project approved by city council. The $5 million project will add a new wing and modernize the tech department for community use.",RELIABLE
"Aliens have officially landed in Area 51 says internal whistleblower. The government is hiding the truth about Galactic Federation contact. Click here for the secret video.",UNRELIABLE
"Global economy shows signs of steady recovery as inflation slows. Central banks report positive indicators across major markets for the first quarter.",RELIABLE
"Drinking 5 gallons of water a day cures all diseases according to viral social media post. Doctors are hiding this truth to keep selling medicine.",UNRELIABLE
"New study links Mediterranean diet to improved heart health in seniors. Longitudinal research over 10 years confirms lower risk of cardiovascular issues.",RELIABLE
"The moon is actually a giant hollow spacecraft made of metal. Science is lying to you about its origin. New leaked photos prove it.",UNRELIABLE
